num_features,num_tasks,num_roles,has_payment,has_admin,has_mobile,has_realtime,num_integrations,complexity_score,actual_hours
13,39,3,0,1,1,1,4,60.5,646.0
8,40,4,1,1,0,0,4,89.0,779.5
9,36,4,0,1,0,0,5,59.2,539.7
7,21,3,1,1,1,1,3,46.7,471.5
11,44,3,1,0,0,1,2,78.8,776.6
13,52,3,0,0,0,0,5,81.9,903.4
13,78,3,0,0,1,1,5,62.3,750.8
11,66,5,1,1,0,0,3,62.3,732.8
12,72,3,1,1,1,0,0,59.8,731.0
10,30,3,1,1,0,0,1,53.1,398.9
14,42,4,0,1,0,1,3,55.9,402.8
9,45,4,1,0,0,1,5,75.0,669.9
7,21,5,0,0,1,0,2,53.9,393.6
15,75,4,0,1,1,1,0,71.9,824.6
12,48,3,1,1,0,1,5,36.5,622.3
3,15,2,0,0,1,1,3,36.7,390.8
10,40,3,1,0,1,0,0,31.7,390.7
14,98,3,1,1,1,1,1,57.1,1010.3
9,27,4,1,1,1,0,0,84.2,415.7
9,63,4,1,1,1,0,2,65.8,529.3
9,54,3,0,1,0,1,4,20.7,539.9
9,27,2,1,1,0,1,2,33.5,398.7
3,21,2,0,0,0,0,0,80.0,420.8
13,91,3,0,0,1,1,3,66.2,1020.2
4,24,4,1,1,1,0,0,39.4,451.9
3,15,4,0,1,0,1,1,62.7,378.5
5,30,2,0,1,0,0,3,70.1,492.1
12,60,5,0,1,0,0,0,66.5,615.5
7,28,4,1,0,1,1,3,48.3,469.2
4,28,3,0,1,1,0,4,57.5,360.8
8,40,4,1,0,0,1,4,79.7,515.2
15,75,3,0,0,1,0,2,68.7,927.4
4,20,5,0,1,0,0,0,33.5,245.8
10,60,2,1,1,1,0,0,43.7,502.6
8,24,5,0,0,1,0,5,60.6,477.5
5,30,2,1,0,0,0,0,32.1,310.3
3,15,2,1,0,0,0,0,54.8,303.9
15,60,5,1,1,1,0,5,60.3,675.2
5,25,3,0,0,1,0,0,39.2,328.9
8,56,3,1,0,0,0,0,75.4,547.4
13,91,5,0,0,1,0,0,20.5,807.8
12,60,5,1,0,0,0,5,39.0,529.7
10,60,3,0,0,0,1,4,86.5,579.9
8,48,2,0,0,0,0,4,45.3,393.1
15,105,3,1,0,1,0,1,27.9,970.4
10,60,3,0,0,0,1,2,34.7,646.1
7,35,5,0,0,0,0,1,75.0,416.6
6,36,4,1,0,1,0,0,42.8,447.6
4,16,5,0,1,0,0,3,61.0,413.1
6,42,5,0,1,1,0,3,70.4,635.6
13,65,4,0,1,0,0,5,59.8,670.0
10,60,5,0,1,0,1,4,31.0,619.2
15,105,3,0,0,1,1,1,61.4,977.2
14,84,3,0,1,1,0,4,86.2,822.6
12,36,5,0,0,1,0,3,57.2,361.5
4,24,5,0,0,0,1,1,29.3,286.5
7,28,2,0,1,1,0,5,52.1,405.7
10,60,3,1,0,1,1,5,64.3,693.6
13,39,5,1,0,1,1,2,68.9,510.9
6,18,4,0,1,0,0,3,45.6,283.4
12,36,4,1,0,0,0,1,88.7,539.9
10,70,3,0,1,1,1,4,67.6,867.2
7,21,2,1,1,1,1,4,56.9,609.9
13,91,4,1,1,0,0,3,26.1,866.7
9,36,4,0,0,0,1,0,68.8,314.0
11,33,4,1,0,1,1,3,51.1,529.9
13,39,4,0,0,0,0,4,65.1,432.2
13,65,5,1,1,1,0,2,32.0,698.2
7,28,5,1,1,0,0,2,39.9,471.4
5,35,4,0,0,0,0,1,28.2,292.0
8,56,3,1,1,1,0,1,59.4,749.0
8,32,4,1,0,1,0,0,48.3,449.3
10,40,5,1,0,0,1,5,69.4,520.5
15,105,3,1,1,0,1,0,29.8,841.0
11,33,4,0,1,0,1,2,26.5,447.7
12,84,3,1,0,0,0,4,79.5,903.7
13,39,5,0,1,1,0,5,45.3,634.8
8,48,4,0,1,1,1,2,88.4,875.2
11,33,3,1,1,1,1,1,76.4,701.2
9,36,2,0,0,1,1,4,89.1,614.7
4,28,5,0,0,1,1,3,32.2,324.2
5,20,3,1,1,1,0,2,78.4,544.1
7,42,5,0,0,0,0,2,41.0,350.2
4,20,5,0,1,0,0,0,73.5,313.7
10,30,4,1,1,1,1,5,77.3,540.8
3,15,3,0,0,1,1,5,29.5,403.3
5,15,4,1,1,1,0,2,40.4,361.8
6,24,2,0,1,1,1,2,68.0,479.8
14,70,2,1,0,0,0,4,39.7,656.9
5,15,3,0,0,0,0,3,52.2,247.3
4,12,3,0,1,1,1,5,45.4,460.7
12,84,4,0,1,0,0,1,29.0,456.8
14,56,3,1,0,0,0,0,49.7,528.3
3,18,5,0,0,0,0,5,55.9,325.3
3,18,2,1,0,0,1,5,20.7,335.1
12,48,3,0,1,0,0,1,79.2,600.9
7,49,4,1,0,0,0,0,77.4,574.8
14,56,4,0,0,0,0,4,79.6,518.4
10,50,3,1,0,0,1,3,49.7,477.8
15,75,2,1,0,0,1,2,69.3,747.6
11,33,2,1,1,0,1,2,52.0,479.3
10,40,5,1,1,0,0,3,85.7,476.6
8,32,2,1,0,1,1,4,66.1,622.0
9,63,2,0,0,1,0,2,34.0,594.3
9,27,3,1,1,1,1,5,86.0,569.3
9,54,4,0,1,0,0,2,54.3,648.2
6,24,2,0,0,0,1,5,21.9,342.3
8,32,4,0,0,1,1,1,40.5,495.8
10,60,4,1,0,0,1,0,46.9,537.7
10,30,2,0,1,0,1,3,29.4,428.9
14,84,5,0,1,1,1,4,79.8,789.8
10,70,5,1,1,1,0,0,61.3,734.4
5,25,4,0,1,1,0,3,44.2,385.7
13,52,3,0,1,0,0,2,28.0,511.3
5,15,4,0,1,1,1,2,21.4,299.6
8,48,5,1,0,1,0,5,67.3,668.8
8,48,4,0,1,1,1,1,54.8,682.1
11,44,4,1,0,1,1,1,63.7,470.5
4,28,2,1,1,0,1,3,34.7,448.1
7,49,4,1,1,0,1,3,37.6,440.5
11,66,3,0,0,1,0,5,87.3,786.5
13,91,5,0,0,1,1,1,36.8,633.4
14,70,5,1,1,0,0,3,38.7,642.6
13,91,3,1,0,0,0,1,21.9,724.4
15,75,5,1,1,1,0,1,31.2,746.1
15,75,3,0,1,0,0,0,42.0,664.5
7,21,5,1,0,1,0,1,27.8,313.5
11,77,4,1,0,0,0,2,43.1,431.7
12,72,3,1,0,0,0,1,35.0,578.0
12,36,5,1,0,1,1,3,67.8,684.6
7,28,4,1,1,1,0,5,87.7,495.8
13,39,3,1,1,1,1,5,28.5,460.2
6,36,5,0,1,1,1,0,85.5,600.8
5,30,4,1,0,1,0,3,53.0,423.0
9,45,5,0,0,1,0,2,49.5,495.9
8,48,2,0,0,1,0,0,48.0,399.9
13,65,4,0,0,0,0,4,69.9,675.7
5,35,5,1,1,1,0,2,32.1,369.7
12,60,4,0,0,1,1,1,47.5,483.6
12,48,2,0,0,0,1,1,38.3,536.8
5,15,5,1,1,0,0,2,31.9,284.0
11,66,5,1,0,0,0,1,86.2,702.3
15,75,4,1,1,0,1,1,62.0,848.5
13,52,5,0,1,0,0,2,88.3,639.6
6,42,5,0,1,1,0,0,52.8,647.3
9,36,5,1,1,0,0,4,24.1,299.1
8,32,5,1,0,0,1,4,63.4,487.2
8,32,2,0,1,0,1,2,81.5,606.9
5,15,4,1,0,1,0,2,23.1,350.3
7,35,5,1,1,1,1,3,82.5,813.5
8,48,3,1,0,0,0,0,36.1,485.8
14,84,5,0,1,0,1,2,89.2,889.2
11,66,5,1,0,0,0,2,26.6,580.6
5,35,4,0,0,0,1,0,37.2,327.2
10,30,4,0,1,0,1,2,61.3,584.0
5,15,2,1,1,1,1,4,66.1,468.9
8,24,5,1,0,0,0,5,39.8,406.3
11,77,5,0,1,1,0,1,87.6,637.4
9,27,2,0,0,1,1,2,65.3,517.7
7,42,5,1,0,1,0,2,55.9,536.2
10,60,5,1,1,1,0,3,76.8,677.2
9,27,2,1,1,0,0,3,56.9,405.2
13,91,2,1,1,1,0,3,41.0,1041.5
7,28,5,1,0,0,0,4,27.5,342.7
9,54,2,1,1,1,1,4,25.7,580.0
13,78,3,0,1,0,0,3,81.4,790.9
7,35,5,1,1,1,0,1,33.0,457.1
13,39,5,0,0,1,0,0,32.0,310.4
10,60,5,1,1,1,1,2,26.1,674.3
3,12,2,0,1,0,0,3,78.9,417.3
15,105,3,0,1,1,0,3,49.5,1139.8
14,84,5,1,0,1,0,1,40.6,901.1
9,27,4,0,0,1,1,3,71.6,431.4
7,21,5,1,1,1,0,5,24.2,364.6
3,18,4,0,1,1,1,0,54.6,447.9
14,84,2,0,1,0,1,2,50.7,712.1
11,44,4,1,0,1,1,3,78.3,597.5
15,90,3,0,1,0,1,1,32.1,561.4
5,35,5,0,1,1,1,1,34.7,466.4
7,35,3,0,0,0,1,3,28.0,372.0
6,18,3,1,1,1,1,0,73.9,346.8
14,98,2,0,1,1,0,0,74.7,805.6
12,36,2,0,0,0,0,2,31.0,324.6
11,66,2,0,1,1,0,0,79.4,843.2
10,60,2,0,1,1,1,4,32.0,625.7
9,45,3,0,1,0,0,3,48.9,614.3
9,54,4,0,1,0,0,5,76.4,702.6
8,48,3,1,0,1,0,5,84.6,701.0
5,35,2,1,1,1,1,5,72.0,676.6
7,49,3,1,1,0,1,5,44.2,600.3
15,90,3,1,0,0,1,3,70.8,863.1
11,55,3,0,1,1,0,0,22.0,452.7
15,105,4,0,1,1,0,5,24.2,744.3
8,24,2,0,1,1,0,3,43.7,477.8
6,42,3,1,1,1,0,5,46.4,598.0
11,77,3,1,1,0,0,5,49.8,707.7
9,27,2,0,1,0,1,1,51.2,346.3
12,84,5,1,1,1,1,5,85.2,1133.7
10,60,3,0,0,1,1,1,87.8,594.7
14,56,5,1,0,0,1,0,62.1,583.3
9,27,2,1,1,0,0,0,46.0,422.8
10,30,3,0,1,0,1,2,35.1,377.5
14,84,2,0,1,0,0,3,53.7,700.1
8,48,5,0,0,1,1,5,51.4,700.3
14,70,2,1,1,0,1,2,57.9,950.3
14,70,2,0,0,1,0,5,59.2,672.4
6,42,2,0,1,0,0,5,85.5,626.4
15,60,3,1,0,1,1,4,23.1,635.9
3,15,5,0,1,0,1,3,38.0,330.2
5,25,3,0,1,0,0,2,86.7,496.5
13,52,2,1,0,0,0,2,47.3,489.3
8,40,5,0,0,0,0,4,61.0,550.7
10,70,5,0,1,0,1,3,58.7,729.7
13,52,2,1,0,0,0,2,59.8,569.5
10,30,3,0,1,0,0,4,86.7,634.2
3,9,5,1,0,0,0,3,39.1,244.6
7,42,4,0,1,0,0,5,57.4,565.6
14,42,3,1,1,0,1,5,86.2,709.6
13,65,5,1,0,1,1,1,52.2,676.5
14,56,2,1,0,0,0,3,58.9,588.3
14,84,5,0,0,0,1,5,28.6,794.7
12,60,5,0,0,0,1,2,85.5,659.4
